# file format intended for conversion to featureXML through OpenMS FileConverter
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	sumSquaresDist	description
15	473.93099415792767	579.2664497210454	579.2663391767807	1156.5181254198014	249979.24014604566	2	0	1.0	0.0	0.0	2	713	725	11	249979.24014604566	0.0	""
16	476.10894875676036	423.93959776681925	423.93953494086935	1691.7290338959574	736286.4188751153	4	0	1.0	0.0	0.0	2	715	729	15	736286.4188751153	0.0	""
17	470.99898138123206	449.11400379743156	449.11381290163513	448.1065364347551	1860499.2818237746	1	0	1.0	0.0	0.0	2	700	726	26	1860499.2818237746	0.0	""
18	474.1577980058184	499.7443653270125	499.74454014395906	997.4745273541581	143447.53182443493	2	0	1.0	0.0	0.0	2	718	725	8	143447.53182443493	0.0	""
19	475.4216393234856	473.25802235707783	473.25836734686027	944.5021817599605	100121.5364940839	2	0	1.0	0.0	0.0	2	723	728	4	100121.5364940839	0.0	""
20	476.7429311445159	409.1854651283289	409.1875992201473	1632.7212910130693	75859.56440079579	4	0	1.0	0.0	0.0	2	723	728	5	75859.56440079579	0.0	""
21	474.9911643581653	431.0851678400991	431.0849833078897	430.0777068410097	444499.06026968185	1	0	1.0	0.0	0.0	2	720	729	10	444499.06026968185	0.0	""
22	475.03052205145184	447.09877384679845	447.0979320677199	446.0906556008399	1844299.6638474956	1	0	1.0	0.0	0.0	3	716	745	30	1844299.6638474956	0.0	""
23	476.0078884204452	579.7673234296813	579.7689863476044	1736.2851296421732	121369.219617539	3	0	1.0	0.0	0.0	2	723	729	6	121369.219617539	0.0	""
24	476.6129004261565	525.9030493808775	525.9028449182068	1574.6867053539804	404780.14715632016	3	0	1.0	0.0	0.0	2	718	732	11	404780.14715632016	0.0	""
25	475.5515043513913	413.538230065296	413.5382457727371	1237.5929079175714	1510038.867557866	3	0	1.0	0.0	0.0	2	712	742	31	1510038.867557866	0.0	""
26	472.87372551017336	462.145568780637	462.145042107822	461.137765640942	6460977.72603906	1	0	1.0	0.0	0.0	2	700	737	38	6460977.72603906	0.0	""
27	473.4751953589308	487.24690434839977	487.2469210789988	972.4792892242376	2348802.582757404	2	0	1.0	0.0	0.0	2	696	736	33	2348802.582757404	0.0	""
28	477.3916370398176	467.8378965871563	467.8376028320287	466.8303263651487	171051.98741948945	1	0	1.0	0.0	0.0	2	727	735	9	171051.98741948945	0.0	""
29	478.08329352450755	464.12881874936875	464.1268287307801	463.1195522639001	135315.2856068755	1	0	1.0	0.0	0.0	2	726	736	7	135315.2856068755	0.0	""
30	476.2702570352072	537.1657103178094	537.1648122389173	536.1575357720374	1190974.2935249382	1	0	1.0	0.0	0.0	2	720	748	29	1190974.2935249382	0.0	""
31	474.8847001918126	651.1439306259974	651.1434553827968	650.1361789159168	846700.5099561947	1	0	1.0	0.0	0.0	2	707	739	27	846700.5099561947	0.0	""
32	477.10079489318247	424.1898100337785	424.1897339018411	1692.7298297398445	342427.65572852956	4	0	1.0	0.0	0.0	2	726	735	9	342427.65572852956	0.0	""
33	476.987049572973	577.1252733994559	577.1241292148138	576.1168527479339	901254.0077823442	1	0	1.0	0.0	0.0	3	717	736	16	901254.0077823442	0.0	""
34	474.8013003227153	609.2067950611352	609.2060998776066	608.1988234107266	1146008.086703882	1	0	1.0	0.0	0.0	2	713	738	26	1146008.086703882	0.0	""
35	475.4308930974369	420.31799072779427	420.31801620646746	419.31073973958746	8259923.783911973	1	0	1.0	0.0	0.0	2	700	735	36	8259923.783911973	0.0	""
36	472.7775975409038	610.1831349519246	610.1827603410043	609.1754838741243	1214828.5938408207	1	0	1.0	0.0	0.0	2	713	740	28	1214828.5938408207	0.0	""
37	478.72010166779216	487.7482345704241	487.7483027468022	973.4820525598444	244936.02034634678	2	0	1.0	0.0	0.0	2	732	740	9	244936.02034634678	0.0	""
38	478.70069882471734	431.08527126154837	431.08496202156357	430.07768555468357	389662.9875898136	1	0	1.0	0.0	0.0	2	730	738	9	389662.9875898136	0.0	""
39	479.19143504817345	525.9029087421334	525.9025062859544	1574.6856894572231	218546.95696117933	3	0	1.0	0.0	0.0	3	733	741	8	218546.95696117933	0.0	""
40	481.01655640247134	439.84299913339095	439.8427287010162	438.8354522341362	786002.0104817353	1	0	1.0	0.0	0.0	2	730	750	21	786002.0104817353	0.0	""
41	476.82470486888445	419.94076611831355	419.9407108818696	1675.7337376599585	1505608.2047615678	4	0	1.0	0.0	0.0	2	717	746	25	1505608.2047615678	0.0	""
42	478.24124586816754	464.28392105419033	464.28391032861634	463.27663386173634	1198616.5169909426	1	0	1.0	0.0	0.0	2	729	742	13	1198616.5169909426	0.0	""
43	479.5657663932953	482.7505541389162	482.7507266018727	963.4869002699854	236036.75375513415	2	0	1.0	0.0	0.0	2	732	742	8	236036.75375513415	0.0	""
44	480.92476843294895	506.08596862952703	506.0839826310842	505.0767061642042	112758.0485962973	1	0	1.0	0.0	0.0	2	737	744	5	112758.0485962973	0.0	""
45	479.7362034386299	611.8117973161924	611.8115408703619	1221.608528806964	213738.3350773535	2	0	1.0	0.0	0.0	2	734	742	8	213738.3350773535	0.0	""
46	479.7561149014087	579.1044187489846	579.1038522856137	578.0965758187338	601785.868553068	1	0	1.0	0.0	0.0	2	727	743	17	601785.868553068	0.0	""
47	481.6784006474471	433.2472588150603	433.24730247362976	864.4800520134995	283808.10844463145	2	0	1.0	0.0	0.0	2	736	753	16	283808.10844463145	0.0	""
48	479.73659824870595	578.1261610088623	578.12526755945	577.11799109257	211475.42980161565	1	0	1.0	0.0	0.0	2	734	745	12	211475.42980161565	0.0	""
49	479.18659114426947	431.0672483543423	431.06667895308516	430.05940248620516	561533.8400946675	1	0	1.0	0.0	0.0	2	724	747	16	561533.8400946675	0.0	""
50	481.4550667786434	745.1909806520483	745.1904650529792	744.1831885860993	253800.99562719083	1	0	1.0	0.0	0.0	2	736	748	10	253800.99562719083	0.0	""
51	481.3557520965284	496.2744376748933	496.27450690489377	990.5344608760275	455984.31724133267	2	0	1.0	0.0	0.0	2	724	746	18	455984.31724133267	0.0	""
52	480.2496335723266	487.24688373780276	487.24689073461593	972.4792285354719	822906.6062726008	2	0	1.0	0.0	0.0	2	737	750	14	822906.6062726008	0.0	""
53	482.55525661220753	432.067566408674	432.064834065977	431.057557599097	40268.78788872372	1	0	1.0	0.0	0.0	2	745	748	3	40268.78788872372	0.0	""
54	482.5598236130447	579.2668285712957	579.2668408649573	1156.5191287961547	229072.04079755436	2	0	1.0	0.0	0.0	2	739	752	10	229072.04079755436	0.0	""
55	482.0096771733662	684.2015949270777	684.2013966086892	683.1941201418092	670168.7481733237	1	0	1.0	0.0	0.0	2	727	750	21	670168.7481733237	0.0	""
56	482.5360892227967	580.1044457451723	580.1025201649651	579.0952436980851	45356.925445296656	1	0	1.0	0.0	0.0	2	744	748	3	45356.925445296656	0.0	""
57	481.1133001557794	611.1841126199344	611.1823113628475	610.1750348959675	233046.4023190874	1	0	1.0	0.0	0.0	2	737	749	10	233046.4023190874	0.0	""
58	482.9985666646761	889.230923039851	889.2301853307903	888.2229088639103	671881.9580012312	1	0	1.0	0.0	0.0	2	734	760	26	671881.9580012312	0.0	""
59	481.9114948573791	448.09901929455714	448.0973012080557	447.0900247411757	646375.6742800532	1	0	1.0	0.0	0.0	2	730	752	22	646375.6742800532	0.0	""
60	484.71112318017254	651.1438950226682	651.1433612395078	650.1360847726279	400495.36237166106	1	0	1.0	0.0	0.0	2	744	758	15	400495.36237166106	0.0	""
61	482.4570427279586	413.8726985642477	413.87274773734526	1238.596413811396	470013.5410546381	3	0	1.0	0.0	0.0	2	743	758	12	470013.5410546381	0.0	""
62	479.75246481023055	423.93956539422163	423.93945810447036	1691.7287265503614	936839.435641796	4	0	1.0	0.0	0.0	2	736	757	20	936839.435641796	0.0	""
63	484.23238664624125	446.76552219263044	446.7646960182197	1337.2722586540192	733092.1447198688	3	0	1.0	0.0	0.0	2	746	760	15	733092.1447198688	0.0	""
64	483.40256586695176	610.1834064890684	610.1830085574194	609.1757320905394	1504626.1329626767	1	0	1.0	0.0	0.0	3	741	775	35	1504626.1329626767	0.0	""
65	484.39381570340583	671.1717903134313	671.1715174094958	670.1642409426158	558351.013062083	1	0	1.0	0.0	0.0	2	750	760	11	558351.013062083	0.0	""
66	478.1339263833195	608.209532893318	608.2082596686648	607.2009832017849	2563633.2753615724	1	0	1.0	0.0	0.0	2	723	758	35	2563633.2753615724	0.0	""
67	484.82418998023275	518.2285030688267	518.2286509189182	1551.6641233561147	476755.1442086338	3	0	1.0	0.0	0.0	2	743	758	14	476755.1442086338	0.0	""
68	483.462381411957	525.9028705689974	525.9025110890461	1574.6857038664984	538757.9339923931	3	0	1.0	0.0	0.0	2	740	762	19	538757.9339923931	0.0	""
69	478.9945819308149	533.1899625691019	533.1890376126844	532.1817611458044	2741098.695873632	1	0	1.0	0.0	0.0	3	732	761	28	2741098.695873632	0.0	""
70	485.8732897182714	424.18985331660923	424.19000329438165	1692.7309073100066	134178.99354056094	4	0	1.0	0.0	0.0	2	755	761	5	134178.99354056094	0.0	""
71	482.8423203906235	597.1529568898416	597.1527172564845	596.1454407896045	926505.7246337188	1	0	1.0	0.0	0.0	2	739	759	21	926505.7246337188	0.0	""
72	489.059579943687	419.94093310452195	419.9408371662402	1675.7342427974409	2486277.6078175413	4	0	1.0	0.0	0.0	3	742	783	33	2486277.6078175413	0.0	""
73	485.3175074643935	448.09916966539254	448.0973747586911	447.0900982918111	291283.92840522254	1	0	1.0	0.0	0.0	2	752	763	11	291283.92840522254	0.0	""
74	482.38225676857223	464.2840646951638	464.28408471264606	926.5536164915321	1787584.3586502902	2	0	1.0	0.0	0.0	2	742	766	25	1787584.3586502902	0.0	""
75	487.4737167591644	555.243305673321	555.2429389996529	1662.7069875983188	2344692.58138866	3	0	1.0	0.0	0.0	3	737	770	32	2344692.58138866	0.0	""
76	487.31830333775645	482.75079920922366	482.7508402346608	963.4871275355616	263014.64662726107	2	0	1.0	0.0	0.0	2	751	763	13	263014.64662726107	0.0	""
77	486.2481457950391	545.7659173667297	545.7659924979922	1089.5174320622245	1.3477884605383288E7	2	0	1.0	0.0	0.0	3	725	803	76	1.3477884605383288E7	0.0	""
78	486.11974701738	611.8112003390903	611.8111535191586	1221.6077541045572	335334.11676147213	2	0	1.0	0.0	0.0	2	749	765	16	335334.11676147213	0.0	""
79	483.5849407594252	505.0859115208472	505.08523380237574	504.07795733549574	1638249.5324819745	1	0	1.0	0.0	0.0	3	745	776	31	1638249.5324819745	0.0	""
80	484.939795321238	413.53834891513264	413.5383312706854	1237.5931644114162	1320049.063344373	3	0	1.0	0.0	0.0	3	751	770	20	1320049.063344373	0.0	""
81	482.46355694742016	579.1041881489418	579.1038004977743	578.0965240308943	862771.8904104467	1	0	1.0	0.0	0.0	2	744	773	30	862771.8904104467	0.0	""
82	487.98821284370854	449.0960532932125	449.0943093958743	2688.522197573966	342358.8690806046	6	0	1.0	0.0	0.0	2	757	767	11	342358.8690806046	0.0	""
83	487.4695702430928	518.2289478363073	518.2289717542425	1551.6650858620874	272216.89036547614	3	0	1.0	0.0	0.0	2	758	765	8	272216.89036547614	0.0	""
84	486.46698547220944	431.08531264172234	431.0851338773228	430.0778574104428	718383.8225149864	1	0	1.0	0.0	0.0	2	753	768	16	718383.8225149864	0.0	""
85	487.29330865898623	534.1909368229047	534.188932104922	533.181655638042	392839.5410283654	1	0	1.0	0.0	0.0	2	759	769	8	392839.5410283654	0.0	""
86	488.84027805045713	651.1440263948818	651.1435606533561	650.1362841864761	267795.6761855326	1	0	1.0	0.0	0.0	2	759	770	12	267795.6761855326	0.0	""
87	488.86072379602956	413.87273877880153	413.8727054988067	1238.59628709578	249074.13585151458	3	0	1.0	0.0	0.0	2	765	775	7	249074.13585151458	0.0	""
88	488.1216931359893	671.1724145774517	671.1714314407931	670.1641549739131	517542.9119389465	1	0	1.0	0.0	0.0	2	757	770	11	517542.9119389465	0.0	""
89	487.99517615902744	431.0676917541433	431.067381995287	430.060105528407	471072.4053706979	1	0	1.0	0.0	0.0	2	759	771	13	471072.4053706979	0.0	""
90	488.2981563173448	464.1286383770108	464.1267266218064	463.1194501549264	144775.6384427548	1	0	1.0	0.0	0.0	2	760	769	9	144775.6384427548	0.0	""
91	489.00026311845045	482.7504861587961	482.7506119891126	963.4866710444652	191194.81792304918	2	0	1.0	0.0	0.0	2	764	775	10	191194.81792304918	0.0	""
92	489.7085675046186	684.2016511799718	684.2012947848348	683.1940183179548	471137.85072971834	1	0	1.0	0.0	0.0	2	757	776	16	471137.85072971834	0.0	""
93	491.40692627982327	526.2856917549344	526.2854154481015	1050.5562779624431	213009.4571695184	2	0	1.0	0.0	0.0	2	763	775	12	213009.4571695184	0.0	""
94	491.77579155819944	525.285809297112	525.2859941717923	1048.5574354098246	126868.66637977558	2	0	1.0	0.0	0.0	2	770	779	10	126868.66637977558	0.0	""
95	490.8181353958892	408.8785192892757	408.87854779716486	1223.6138139908546	1133884.196817161	3	0	1.0	0.0	0.0	2	765	783	19	1133884.196817161	0.0	""
96	490.1393393035011	577.1255765126056	577.1245689649286	576.1172924980486	444000.0415694224	1	0	1.0	0.0	0.0	3	768	781	11	444000.0415694224	0.0	""
97	497.44523754065057	503.1064899192658	503.1051577902312	502.0978813233512	2484693.609288088	1	0	1.0	0.0	0.0	3	760	799	28	2484693.609288088	0.0	""
98	497.6756890462766	504.10696193211675	504.10513980135266	503.09786333447266	380822.19914896076	1	0	1.0	0.0	0.0	2	790	799	10	380822.19914896076	0.0	""
99	491.74465164071927	461.1681298556163	461.16789277079243	460.16061630391243	498580.39271593606	1	0	1.0	0.0	0.0	2	765	779	12	498580.39271593606	0.0	""
100	488.30233223946016	609.2071038760851	609.2060553399235	608.1987788730436	957812.2619477517	1	0	1.0	0.0	0.0	2	748	778	26	957812.2619477517	0.0	""
101	488.8640573771411	447.0987909340062	447.0982002756672	446.0909238087872	1307121.5492641188	1	0	1.0	0.0	0.0	2	761	781	20	1307121.5492641188	0.0	""
102	491.102738846581	464.28388695556185	464.2839437833724	926.5533346329848	801124.4392078726	2	0	1.0	0.0	0.0	2	767	783	17	801124.4392078726	0.0	""
103	493.12217295633087	496.8332266468572	496.83274160977425	495.82546514289425	152600.97815631062	1	0	1.0	0.0	0.0	2	775	784	9	152600.97815631062	0.0	""
104	491.72416416795045	413.53835764080463	413.5383422891095	1237.5931974666885	1039522.8618868035	3	0	1.0	0.0	0.0	2	770	784	14	1039522.8618868035	0.0	""
105	491.77172527024123	818.2111065039667	818.2105357055825	817.2032592387026	572960.6178502204	1	0	1.0	0.0	0.0	2	761	783	23	572960.6178502204	0.0	""
106	491.46421161553997	611.8114542683373	611.8114633446011	1221.6083737554422	551170.2775719919	2	0	1.0	0.0	0.0	2	766	788	16	551170.2775719919	0.0	""
107	491.79068813190656	518.2286978941981	518.2286477533013	1551.664113859264	1239443.9973724643	3	0	1.0	0.0	0.0	3	764	788	21	1239443.9973724643	0.0	""
108	494.15905601365944	487.247177723543	487.2470756659101	972.4795983980601	350193.00038939004	2	0	1.0	0.0	0.0	2	778	786	9	350193.00038939004	0.0	""
109	493.9564019492684	449.0967753264495	449.09447937080114	2688.523217423527	247991.05706273273	6	0	1.0	0.0	0.0	2	779	787	8	247991.05706273273	0.0	""
110	493.09592890388905	579.1044119260822	579.1034859023143	578.0962094354344	451921.44201684475	1	0	1.0	0.0	0.0	2	766	788	20	451921.44201684475	0.0	""
111	494.33744030014446	506.0866256783335	506.0856279933381	505.0783515264581	281504.83471376245	1	0	1.0	0.0	0.0	2	768	786	19	281504.83471376245	0.0	""
112	490.15426329214154	463.12946720598063	463.12911276545174	462.12183629857174	1616041.73485451	1	0	1.0	0.0	0.0	2	767	799	33	1616041.73485451	0.0	""
113	494.37450892139697	611.1849714902462	611.1827042499934	610.1754277831135	171372.8393372359	1	0	1.0	0.0	0.0	2	781	789	8	171372.8393372359	0.0	""
114	496.37818537200064	758.2202079432092	758.2192939141615	757.2120174472816	283951.6176347378	1	0	1.0	0.0	0.0	3	784	805	18	283951.6176347378	0.0	""
115	495.514348350874	447.0987191424543	447.09753969044783	446.09026322356783	1252105.8358005602	1	0	1.0	0.0	0.0	3	781	799	19	1252105.8358005602	0.0	""
116	494.0028332773408	419.9407618154678	419.94069953215876	1675.733692261115	1939606.5462280568	4	0	1.0	0.0	0.0	3	775	795	18	1939606.5462280568	0.0	""
117	495.67228064170286	496.2743937610865	496.27426431823176	990.5339757027035	80864.52541580962	2	0	1.0	0.0	0.0	2	785	791	4	80864.52541580962	0.0	""
118	492.57795529965796	651.1437389055744	651.1434353131029	650.136158846223	620880.7527211651	1	0	1.0	0.0	0.0	2	771	796	26	620880.7527211651	0.0	""
119	495.3741844864759	464.28426472433506	464.28421480438817	926.5538766750163	418975.4798591546	2	0	1.0	0.0	0.0	2	780	792	11	418975.4798591546	0.0	""
120	496.32854962262405	439.84289681176745	439.84266304183177	438.83538657495177	563643.2869459947	1	0	1.0	0.0	0.0	2	786	799	14	563643.2869459947	0.0	""
121	496.36990289789003	818.2109492348245	818.2101654200152	817.2028889531352	394339.3984972099	1	0	1.0	0.0	0.0	2	784	799	16	394339.3984972099	0.0	""
122	496.11490211143314	523.2342682679772	523.2341190267313	1566.680527679554	1024699.601756559	3	0	1.0	0.0	0.0	3	770	797	22	1024699.601756559	0.0	""
123	495.5358120171093	413.5382128126016	413.5382719805616	1237.5929865410449	1128166.803410919	3	0	1.0	0.0	0.0	2	781	799	15	1128166.803410919	0.0	""
124	496.89331194845647	684.2014679347101	684.2013086907725	683.1940322238926	353795.38221348764	1	0	1.0	0.0	0.0	2	789	799	11	353795.38221348764	0.0	""
125	496.76198355640224	537.1654869277684	537.162861383653	536.155584916773	543971.081206305	1	0	1.0	0.0	0.0	2	784	799	15	543971.081206305	0.0	""
126	497.32735282348824	423.93880000327187	423.9387525921759	845.8629522505918	75883.7694185906	2	0	1.0	0.0	0.0	2	791	795	3	75883.7694185906	0.0	""
127	497.50602934697355	555.2430437388547	555.2429855382351	1662.7071272140652	80634.22139697317	3	0	1.0	0.0	0.0	2	792	796	5	80634.22139697317	0.0	""
128	497.29800131079264	577.1253420440969	577.1243340291177	576.1170575622377	1119967.7264120078	1	0	1.0	0.0	0.0	3	776	799	24	1119967.7264120078	0.0	""
129	497.50955293440245	505.0858064904449	505.0844331544372	504.0771566875572	812163.5651830347	1	0	1.0	0.0	0.0	3	787	799	13	812163.5651830347	0.0	""
130	498.0209290396065	526.2852536791995	526.2850639479203	1050.5555749620808	183364.59057854	2	0	1.0	0.0	0.0	2	791	801	9	183364.59057854	0.0	""
131	496.93280631189936	579.1043011107064	579.1032197956994	578.0959433288194	445876.7422951468	1	0	1.0	0.0	0.0	3	785	799	15	445876.7422951468	0.0	""
132	498.55292831893576	420.19154015588157	420.19137952650124	1676.736412238485	284070.65466003923	4	0	1.0	0.0	0.0	3	792	799	5	284070.65466003923	0.0	""
133	497.0897600725909	518.2285507102933	518.2285013294708	1551.6636745877722	467519.591066475	3	0	1.0	0.0	0.0	2	789	806	16	467519.591066475	0.0	""
134	498.0809927302248	745.1903016835782	745.1896186189655	744.1823421520855	411472.9338359146	1	0	1.0	0.0	0.0	2	789	803	13	411472.9338359146	0.0	""
135	496.8494495791616	611.8116816169673	611.8111975554191	1221.6078421770783	311693.150125574	2	0	1.0	0.0	0.0	2	782	798	15	311693.150125574	0.0	""
136	497.6350374132229	431.0856719316557	431.0848807506721	430.0776042837921	466421.7265651878	1	0	1.0	0.0	0.0	2	791	806	11	466421.7265651878	0.0	""
137	494.29099365044107	460.1716563015696	460.16919488305314	459.16191841617314	2074159.261177718	1	0	1.0	0.0	0.0	2	779	799	21	2074159.261177718	0.0	""
138	496.97686203667985	463.1461496161226	463.14503211453075	462.13775564765075	679328.1908768087	1	0	1.0	0.0	0.0	2	790	799	10	679328.1908768087	0.0	""
139	497.83708127562	464.28390628794597	464.2840526524973	926.5535523712346	260737.4650127833	2	0	1.0	0.0	0.0	2	793	800	7	260737.4650127833	0.0	""
140	497.9109789852459	487.24691751921296	487.24689716487813	972.4792413959963	361157.258550828	2	0	1.0	0.0	0.0	2	789	800	10	361157.258550828	0.0	""
141	497.2043775454342	495.83251015637586	495.83201689440506	494.82474042752506	862161.2495399772	1	0	1.0	0.0	0.0	2	785	801	15	862161.2495399772	0.0	""
142	497.81936172162983	535.1877878317703	535.1871178985202	534.1798414316403	169049.07596428826	1	0	1.0	0.0	0.0	2	793	799	7	169049.07596428826	0.0	""
143	497.8587442680794	611.183961442288	611.1823125551116	610.1750360882316	141624.90222445922	1	0	1.0	0.0	0.0	2	793	799	6	141624.90222445922	0.0	""
144	498.6665061518016	889.2309104305492	889.2302207348974	888.2229442680175	129305.9205759534	1	0	1.0	0.0	0.0	2	795	799	5	129305.9205759534	0.0	""
145	497.1708700188004	408.87851951531763	408.87857610285374	1223.6138989079213	1117464.377753658	3	0	1.0	0.0	0.0	2	784	800	17	1117464.377753658	0.0	""
146	498.91977053130665	423.9396510583716	423.9394316141451	1691.7286205890605	111160.81024721796	4	0	1.0	0.0	0.0	2	796	800	4	111160.81024721796	0.0	""
147	499.26496099146965	523.2342174616977	523.234213390281	1566.680810770203	668758.8465166623	3	0	1.0	0.0	0.0	2	793	808	12	668758.8465166623	0.0	""
148	500.28892304365706	447.0988724619993	447.0976648883645	446.0903884214845	1186563.3612624614	1	0	1.0	0.0	0.0	3	797	817	18	1186563.3612624614	0.0	""
149	499.2217056342506	537.1657401411245	537.1630328680588	536.1557564011789	400604.3102769765	1	0	1.0	0.0	0.0	2	800	810	10	400604.3102769765	0.0	""
150	499.1752282113901	597.1531954579168	597.152286020709	596.145009553829	253293.99978222634	1	0	1.0	0.0	0.0	2	800	808	6	253293.99978222634	0.0	""
151	499.1927145880394	504.1072927347957	504.10490255485115	503.09762608797115	233338.3155905322	1	0	1.0	0.0	0.0	2	800	806	7	233338.3155905322	0.0	""
152	499.17104791318957	419.9407873654901	419.9407255117759	1675.7337961795836	1415421.061332691	4	0	1.0	0.0	0.0	3	797	811	12	1415421.061332691	0.0	""
153	500.7478720433537	423.9397833816158	423.93949470638074	1691.728872958003	78220.32665393522	4	0	1.0	0.0	0.0	2	803	809	4	78220.32665393522	0.0	""
154	500.0001573282844	508.2611714517339	508.261153286945	1014.50775364013	358146.6795684032	2	0	1.0	0.0	0.0	2	790	809	18	358146.6795684032	0.0	""
155	500.22520263638825	449.9113415768805	449.9126721751001	2244.5269785411006	99036.18288317241	5	0	1.0	0.0	0.0	2	803	810	7	99036.18288317241	0.0	""
156	501.90337459007526	577.1253714944321	577.1245038816934	576.1172274148134	943897.7761014458	1	0	1.0	0.0	0.0	3	798	819	20	943897.7761014458	0.0	""
157	499.90015127643494	607.2087388741867	607.2059172959016	606.1986408290217	2439146.4062290434	1	0	1.0	0.0	0.0	4	798	821	22	2439146.4062290434	0.0	""
158	500.0393282937325	413.5381930655591	413.5382704692734	1237.5929820071804	975507.5038206446	3	0	1.0	0.0	0.0	3	800	813	13	975507.5038206446	0.0	""
159	501.709127662198	436.54629582109317	436.5448391375044	1306.6126880118734	896363.6852737342	3	0	1.0	0.0	0.0	2	797	815	16	896363.6852737342	0.0	""
160	501.18265154040995	463.1464035587362	463.1447693715549	462.1374929046749	1266836.72654347	1	0	1.0	0.0	0.0	2	800	819	20	1266836.72654347	0.0	""
161	500.60184163529067	495.83240228935244	495.83217157590184	494.82489510902184	1233286.280587264	1	0	1.0	0.0	0.0	2	800	822	23	1233286.280587264	0.0	""
162	501.3893902613638	504.107156404381	504.1045640353785	503.0972875684985	231534.34800994056	1	0	1.0	0.0	0.0	2	807	813	7	231534.34800994056	0.0	""
163	501.17672152771445	467.8379512157097	467.83764011175236	466.83036364487236	334800.8985421766	1	0	1.0	0.0	0.0	2	800	813	14	334800.8985421766	0.0	""
164	499.8133178273215	408.87835888274884	408.8783874910752	1223.6133330725856	1836987.9124730257	3	0	1.0	0.0	0.0	2	801	834	34	1836987.9124730257	0.0	""
165	501.67996433729934	473.27700055801716	473.2768131528656	944.5390733719712	331684.28115916543	2	0	1.0	0.0	0.0	2	802	814	11	331684.28115916543	0.0	""
166	502.06480335701985	409.0658716796972	409.0657221908976	1632.2337828960704	52373.89948786044	4	0	1.0	0.0	0.0	2	809	818	6	52373.89948786044	0.0	""
167	502.2461799160154	523.568642393291	523.5683705588755	1567.6832822759864	256580.1893674939	3	0	1.0	0.0	0.0	2	806	815	7	256580.1893674939	0.0	""
168	501.9563504578809	744.1923452749351	744.1908945125255	743.1836180456455	1529574.8458037246	1	0	1.0	0.0	0.0	2	800	821	18	1529574.8458037246	0.0	""
169	507.3173423880483	815.2125258632501	815.2097610267255	814.2024845598455	6251630.188534529	1	0	1.0	0.0	0.0	4	800	837	38	6251630.188534529	0.0	""
170	502.5827383217568	449.91123168884707	449.9121225984685	2244.5242306579426	105677.37618971159	5	0	1.0	0.0	0.0	2	813	824	10	105677.37618971159	0.0	""
171	503.0322287033741	506.0870225676565	506.08511080476524	505.07783433788524	193926.90566687094	1	0	1.0	0.0	0.0	2	810	818	8	193926.90566687094	0.0	""
